r;b;swpd;free;buff;cache;si;so;bi;bo;in;cs;us;sy;id;wa;st
1;0;0;3392084;48080;1007948;0;0;69;8;924;347;4;5;90;1;0
0;0;0;3392116;48080;1007948;0;0;0;0;521;531;2;1;97;0;0
2;0;0;3393180;48080;1007948;0;0;0;0;570;784;4;3;93;0;0
1;0;0;3393180;48080;1007912;0;0;0;424;834;1655;9;1;87;3;0
1;0;0;3393180;48080;1007912;0;0;0;0;557;856;4;2;94;0;0
0;0;0;3393180;48080;1007912;0;0;0;0;463;453;11;1;88;0;0
0;0;0;3392928;48080;1007916;0;0;0;0;703;904;10;2;88;0;0
1;0;0;3392928;48080;1007916;0;0;0;0;529;145;1;0;99;0;0
0;0;0;3392928;48092;1007904;0;0;0;456;537;167;0;0;94;6;0
0;0;0;3392928;48092;1007916;0;0;0;0;503;152;0;0;100;0;0
0;0;0;3392928;48092;1007916;0;0;0;0;400;113;0;1;99;0;0
0;0;0;3392928;48092;1007916;0;0;0;0;440;130;0;0;100;0;0
1;0;0;3392928;48092;1007916;0;0;0;0;500;122;0;0;100;0;0
0;0;0;3392928;48092;1007916;0;0;0;0;419;129;1;1;98;0;0
0;0;0;3392928;48100;1007912;0;0;0;16;384;144;0;0;98;2;0
1;0;0;3392928;48100;1007916;0;0;0;0;474;170;3;1;96;0;0
0;0;0;3392928;48100;1007916;0;0;0;0;439;132;0;0;100;0;0
0;0;0;3392928;48100;1007916;0;0;0;0;503;129;0;0;100;0;0
2;0;0;3392928;48100;1007916;0;0;0;0;521;115;0;0;100;0;0
0;0;0;3392928;48100;1007916;0;0;0;0;449;156;1;0;99;0;0
2;0;0;3392672;48100;1007916;0;0;0;0;5841;558;0;62;38;0;0
0;0;0;3390240;48100;1007916;0;0;0;0;5144;522;0;71;29;0;0
2;0;0;3392988;48100;1007920;0;0;0;0;5788;548;0;80;20;0;0
1;0;0;3392028;48100;1007920;0;0;0;0;6440;564;0;71;29;0;0
1;0;0;3392924;48108;1007912;0;0;0;40;7191;628;1;76;21;2;0
0;0;0;3392732;48108;1007924;0;0;0;0;7591;601;0;77;23;0;0
2;0;0;3391196;48108;1007924;0;0;0;0;7606;573;0;79;21;0;0
0;0;0;3393148;48108;1007924;0;0;0;0;7127;585;0;73;27;0;0
0;0;0;3392872;48116;1007920;0;0;0;48;7472;985;3;76;21;0;0
0;0;0;3392904;48116;1007952;0;0;0;736;7372;673;0;75;23;2;0
2;0;0;3389704;48116;1007956;0;0;0;0;6808;576;0;73;27;0;0
1;0;0;3391496;48116;1007956;0;0;0;0;6894;579;0;64;36;0;0
1;0;0;3386840;48116;1007956;0;0;0;0;7294;696;1;89;10;0;0
1;1;0;3389800;48128;1007944;0;0;0;72;5033;485;0;84;13;2;0
0;0;0;3391432;48128;1007960;0;0;0;0;7249;638;1;70;28;0;0
0;0;0;3392904;48128;1007960;0;0;0;0;4221;430;1;83;15;0;0
1;0;0;3388604;48128;1007964;0;0;0;0;3767;439;1;77;22;0;0
1;0;0;3387560;48144;1008000;0;0;0;80;5262;477;1;83;16;0;0
0;0;0;3392904;48144;1008004;0;0;0;0;7966;672;0;80;20;0;0
1;0;0;3388712;48144;1007980;0;0;0;0;7603;617;0;67;33;0;0
5;0;0;3390952;48144;1007980;0;0;0;0;9165;642;1;82;17;0;0
0;0;0;3386728;48144;1007984;0;0;0;0;6342;582;1;79;20;0;0
2;0;0;3386744;48144;1007984;0;0;0;0;6774;528;1;83;16;0;0
1;0;0;3389216;48152;1007988;0;0;0;36;4456;460;0;82;17;1;0
0;0;0;3387848;48152;1007988;0;0;0;0;7859;728;1;83;16;0;0
1;0;0;3385640;48152;1007988;0;0;0;0;3959;437;0;88;12;0;0
1;0;0;3387096;48152;1007992;0;0;0;0;9238;688;1;85;14;0;0
1;0;0;3389992;48152;1007992;0;0;0;0;9872;676;1;86;13;0;0
1;0;0;3388344;48160;1007992;0;0;0;12;4999;497;0;89;11;0;0
1;0;0;3388520;48160;1007996;0;0;0;280;3119;420;3;84;13;0;0
0;0;0;3392328;48160;1007996;0;0;0;0;8417;670;1;73;26;0;0
2;0;0;3387360;48184;1007976;0;0;0;68;3877;625;2;87;10;0;0
5;0;0;3389256;48184;1008000;0;0;0;0;5249;1231;3;88;9;0;0
1;0;0;3389024;48184;1008004;0;0;0;0;5863;660;3;82;16;0;0
0;0;0;3384160;48184;1008004;0;0;0;0;8962;597;1;86;13;0;0
2;0;0;3383328;48184;1008004;0;0;0;0;5952;471;0;83;17;0;0
1;0;0;3382568;48184;1008008;0;0;0;0;8232;652;0;88;13;0;0
1;0;0;3386416;48192;1008008;0;0;0;12;10654;744;2;84;14;0;0
1;0;0;3381264;48192;1008012;0;0;0;0;9584;687;1;86;13;0;0
1;0;0;3385552;48192;1008012;0;0;0;0;7151;657;0;85;15;0;0
1;0;0;3378580;48192;1008012;0;0;0;0;2941;438;0;88;13;0;0
1;0;0;3382608;48192;1008012;0;0;0;0;3208;371;1;74;25;0;0
1;0;0;3386608;48200;1008016;0;0;0;12;5005;590;2;74;21;3;0
0;0;0;3378984;48208;1008008;0;0;0;40;5694;594;1;83;16;0;0
0;0;0;3392896;48208;1008020;0;0;0;0;8902;694;1;84;15;0;0
1;0;0;3379928;48208;1008020;0;0;0;0;8050;675;1;84;15;0;0
1;0;0;3382432;48208;1008020;0;0;0;0;7926;627;1;85;14;0;0
2;0;0;3388448;48208;1008024;0;0;0;0;8020;669;1;86;13;0;0
1;0;0;3377312;48216;1008016;0;0;0;40;6407;702;0;89;10;1;0
2;0;0;3382368;48216;1008024;0;0;0;0;8914;697;1;83;16;0;0
1;0;0;3378480;48216;1008028;0;0;0;0;6288;550;1;78;21;0;0
1;0;0;3384384;48216;1008028;0;0;0;0;8771;710;2;83;15;0;0
1;0;0;3378856;48216;1008028;0;0;0;0;8628;720;7;84;8;0;0
1;0;0;3379592;48224;1008024;0;0;0;12;9455;676;1;84;14;1;0
1;0;0;3383560;48224;1008032;0;0;0;0;9068;709;0;85;15;0;0
3;0;0;3382864;48224;1008032;0;0;0;0;9272;764;0;88;12;0;0
4;0;0;3383208;48224;1008036;0;0;0;0;7394;668;1;86;13;0;0
1;0;0;3383680;48224;1008036;0;0;0;0;7428;676;1;85;14;0;0
0;0;0;3378936;48232;1008032;0;0;0;12;6607;597;2;80;17;0;0
1;0;0;3383168;48232;1008040;0;0;0;0;6526;629;0;82;18;0;0
2;0;0;3383104;48232;1008040;0;0;0;52;5546;600;0;78;22;0;0
2;0;0;3383240;48232;1008044;0;0;0;0;9062;713;1;84;15;0;0
1;0;0;3380712;48232;1008044;0;0;0;0;8123;676;0;85;15;0;0
2;1;0;3380428;48240;1008036;0;0;0;24;2719;402;1;74;23;1;0
1;0;0;3380964;48240;1008052;0;0;0;0;1792;309;0;82;18;0;0
2;0;0;3378004;48240;1008052;0;0;0;200;1503;313;0;89;11;0;0
4;0;0;3381260;48240;1008052;0;0;0;0;6364;569;0;84;16;0;0
2;0;0;3378732;48240;1008056;0;0;0;0;8558;668;1;86;13;0;0
1;0;0;3379668;48248;1008048;0;0;0;16;8291;701;1;84;15;0;0
1;0;0;3382060;48248;1008056;0;0;0;0;8664;733;2;86;12;0;0
0;0;0;3382084;48248;1008060;0;0;0;0;8493;664;1;83;16;0;0
1;0;0;3376924;48248;1008064;0;0;0;0;7823;679;0;83;17;0;0
1;0;0;3372500;48248;1008064;0;0;0;0;8170;718;1;85;14;0;0
4;0;0;3380204;48256;1008056;0;0;0;12;8673;747;0;88;12;0;0
1;0;0;3379684;48256;1008068;0;0;0;0;10010;739;1;86;13;0;0
1;0;0;3382308;48256;1008068;0;0;0;8;9962;722;1;86;13;0;0
0;0;0;3377812;48288;1008036;0;0;0;172;10064;812;2;85;12;1;0
3;0;0;3384916;48288;1008072;0;0;0;0;10655;757;2;84;14;0;0
2;0;0;3382236;48288;1008072;0;0;0;0;10296;770;1;85;14;0;0
2;0;0;3374620;48288;1008076;0;0;0;0;8961;753;1;87;12;0;0
0;0;0;3374828;48288;1008076;0;0;0;0;7088;716;1;85;14;0;0
1;0;0;3380412;48296;1008072;0;0;0;44;9059;718;2;83;14;1;0
1;0;0;3384036;48296;1008080;0;0;0;0;8325;783;0;88;12;0;0
0;0;0;3383436;48296;1008084;0;0;0;0;8713;771;1;83;16;0;0
1;0;0;3375364;48296;1008084;0;0;0;0;9348;756;0;89;11;0;0
1;0;0;3374300;48296;1008084;0;0;0;0;8153;706;1;85;14;0;0
2;0;0;3381740;48304;1008080;0;0;0;12;8258;670;1;82;17;0;0
1;0;0;3375148;48304;1008088;0;0;0;0;4357;539;1;87;11;0;0
0;0;0;3373804;48304;1008088;0;0;0;0;4757;576;0;91;9;0;0
1;0;0;3381036;48304;1008088;0;0;0;0;4996;546;0;85;15;0;0
0;0;0;3384572;48304;1008092;0;0;0;0;7298;698;0;87;13;0;0
1;0;0;3374268;48312;1008084;0;0;0;72;3285;464;1;93;6;0;0
1;0;0;3377084;48312;1008096;0;0;0;0;5810;643;0;86;14;0;0
3;0;0;3373828;48312;1008096;0;0;0;0;5708;613;1;87;12;0;0
2;0;0;3375964;48312;1008096;0;0;0;0;6028;608;0;85;15;0;0
3;0;0;3371764;48312;1008100;0;0;0;0;3916;497;0;85;15;0;0
1;0;0;3372628;48320;1008092;0;0;0;12;8173;709;0;87;13;0;0
2;0;0;3381500;48320;1008100;0;0;0;0;8410;720;1;86;13;0;0
1;0;0;3369276;48320;1008104;0;0;0;0;6662;641;1;88;11;0;0
2;0;0;3374796;48320;1008104;0;0;0;0;5599;520;0;84;16;0;0
1;0;0;3377076;48320;1008104;0;0;0;0;3339;488;1;90;9;0;0
2;0;0;3376916;48328;1008100;0;0;0;104;5109;627;1;89;10;0;0
2;0;0;3377388;48328;1008112;0;0;0;0;7793;678;1;85;13;0;0
0;0;0;3375644;48328;1008116;0;0;0;0;9566;707;3;85;12;0;0
1;0;0;3377172;48328;1008116;0;0;0;0;10632;778;1;88;11;0;0
1;0;0;3378788;48328;1008120;0;0;0;0;6643;641;1;83;16;0;0
1;0;0;3375204;48328;1008120;0;0;0;0;6902;649;0;89;11;0;0
1;0;0;3372932;48336;1008120;0;0;0;12;7617;694;1;87;12;0;0
2;0;0;3369772;48336;1008124;0;0;0;0;5921;589;1;85;14;0;0
1;0;0;3372244;48336;1008124;0;0;0;0;6140;682;0;87;13;0;0
4;0;0;3383444;48336;1008124;0;0;0;0;6974;771;0;86;14;0;0
0;0;0;3374636;48336;1008128;0;0;0;0;8416;780;0;87;13;0;0
3;0;0;3374620;48344;1008120;0;0;0;12;7660;765;6;80;14;0;0
2;0;0;3373908;48344;1008132;0;0;0;0;8056;736;0;88;12;0;0
2;0;0;3374316;48344;1008132;0;0;0;0;8639;771;1;85;14;0;0
2;0;0;3372300;48344;1008132;0;0;0;0;5918;684;0;88;12;0;0
1;0;0;3371972;48344;1008136;0;0;0;0;6783;685;1;86;13;0;0
0;0;0;3369452;48352;1008128;0;0;0;12;7037;705;2;86;12;0;0
2;0;0;3378628;48352;1008136;0;0;0;0;8700;725;1;88;11;0;0
1;0;0;3376540;48352;1008140;0;0;0;0;7653;757;1;84;15;0;0
1;0;0;3391180;48352;1008140;0;0;0;0;4228;506;1;60;39;0;0
0;0;0;3392684;48352;1008144;0;0;0;0;3071;425;0;28;72;0;0
1;0;0;3392652;48360;1008140;0;0;0;12;2536;411;1;22;72;4;0
1;0;0;3392588;48360;1008148;0;0;0;0;2977;452;0;35;65;0;0
0;0;0;3392684;48360;1008152;0;0;0;0;2877;479;0;27;73;0;0
1;0;0;3391660;48360;1008156;0;0;0;0;2522;399;1;22;77;0;0
3;0;0;3391468;48360;1008160;0;0;0;0;3076;426;1;24;75;0;0
0;0;0;3392652;48368;1008156;0;0;0;12;3099;424;1;24;73;2;0
0;0;0;3392684;48368;1008164;0;0;0;0;3212;447;0;26;74;0;0
0;0;0;3392684;48368;1008168;0;0;0;0;3059;460;0;32;68;0;0
1;0;0;3392236;48368;1008172;0;0;0;0;2234;405;0;23;77;0;0
0;0;0;3392684;48368;1008176;0;0;0;0;3633;454;1;33;66;0;0
0;0;0;3392140;48376;1008168;0;0;0;84;3134;520;1;35;63;1;0
0;0;0;3392684;48376;1008180;0;0;0;0;3877;615;3;41;56;0;0
1;0;0;3391756;48376;1008184;0;0;0;0;3160;428;0;24;76;0;0
0;0;0;3392684;48376;1008188;0;0;0;0;3428;465;0;36;64;0;0
1;0;0;3391436;48376;1008192;0;0;0;0;2802;458;2;28;70;0;0
0;0;0;3392684;48384;1008184;0;0;0;24;2622;416;1;18;80;1;0
0;0;0;3392684;48384;1008196;0;0;0;0;2765;416;1;25;74;0;0
0;0;0;3392684;48384;1008200;0;0;0;0;4338;454;1;29;70;0;0
0;0;0;3392652;48384;1008204;0;0;0;0;2671;431;0;24;76;0;0
0;0;0;3392684;48384;1008208;0;0;0;0;2337;416;0;24;76;0;0
1;0;0;3392684;48392;1008200;0;0;0;48;2084;382;1;36;63;0;0
0;0;0;3392684;48392;1008216;0;0;0;0;2873;396;0;26;74;0;0
0;0;0;3392684;48392;1008220;0;0;0;0;2875;420;1;25;74;0;0
0;0;0;3392652;48392;1008224;0;0;0;0;1930;358;1;25;74;0;0
1;0;0;3392684;48392;1008224;0;0;0;0;2519;404;1;24;74;0;0
0;0;0;3392684;48400;1008220;0;0;0;24;2503;421;1;24;74;0;0
0;0;0;3392652;48400;1008232;0;0;0;0;2289;378;0;26;74;0;0
0;0;0;3392652;48400;1008236;0;0;0;0;2078;379;0;19;81;0;0
0;0;0;3392684;48400;1008240;0;0;0;0;3067;416;1;26;73;0;0
0;0;0;3392652;48400;1008240;0;0;0;0;2675;437;1;28;71;0;0
2;0;0;3392620;48408;1008236;0;0;0;12;3209;436;0;24;76;0;0
0;0;0;3392684;48408;1008248;0;0;0;0;2615;398;0;27;73;0;0
0;0;0;3392684;48408;1008252;0;0;0;0;2132;382;1;20;79;0;0
1;0;0;3391724;48408;1008256;0;0;0;0;2468;379;1;19;80;0;0
0;0;0;3392652;48408;1008256;0;0;0;0;3058;431;0;25;75;0;0
5;0;0;3391724;48416;1008252;0;0;0;12;2269;434;0;30;70;0;0
0;0;0;3392652;48416;1008264;0;0;0;0;2802;445;1;35;64;0;0
0;0;0;3392684;48416;1008268;0;0;0;0;2447;446;0;28;72;0;0
0;0;0;3392684;48416;1008272;0;0;0;0;2331;409;0;25;75;0;0
0;0;0;3392684;48416;1008272;0;0;0;0;2556;485;4;31;65;0;0
0;0;0;3392652;48424;1008268;0;0;0;12;3261;422;1;31;67;1;0
0;0;0;3392652;48424;1008280;0;0;0;0;2574;440;0;29;71;0;0
1;0;0;3391596;48424;1008284;0;0;0;0;3291;482;2;38;60;0;0
2;0;0;3392300;48424;1008288;0;0;0;0;2352;471;2;34;64;0;0
1;0;0;3391372;48424;1008288;0;0;0;0;2679;486;2;35;63;0;0
1;0;0;3392684;48432;1008284;0;0;0;12;3600;490;1;40;59;0;0
0;0;0;3392684;48432;1008296;0;0;0;0;1988;414;1;26;73;0;0
0;0;0;3392684;48432;1008300;0;0;0;0;2449;443;1;28;71;0;0
0;0;0;3392684;48432;1008304;0;0;0;0;2778;440;1;31;68;0;0
0;0;0;3392652;48432;1008304;0;0;0;0;2078;380;0;26;74;0;0
0;0;0;3392652;48440;1008300;0;0;0;12;2341;479;4;33;63;0;0
0;0;0;3392684;48440;1008312;0;0;0;100;2414;429;0;27;73;0;0
0;0;0;3392684;48440;1008316;0;0;0;0;2125;440;2;30;68;0;0
0;0;0;3392652;48440;1008324;0;0;0;0;3523;469;0;41;59;0;0
0;0;0;3392684;48440;1008324;0;0;0;0;2211;408;2;28;70;0;0
0;0;0;3392652;48448;1008320;0;0;0;24;2562;426;1;29;69;1;0
0;0;0;3392652;48448;1008332;0;0;0;12;3372;477;1;40;59;0;0
0;0;0;3392684;48448;1008336;0;0;0;0;3006;444;1;37;62;0;0
0;0;0;3392652;48448;1008340;0;0;0;0;2314;445;1;33;66;0;0
0;0;0;3392684;48448;1008340;0;0;0;0;2130;409;1;27;72;0;0
0;0;0;3392684;48456;1008336;0;0;0;12;2868;433;2;34;64;0;0
0;0;0;3391052;48456;1008348;0;0;0;0;2202;370;0;23;77;0;0
1;0;0;3391948;48456;1008352;0;0;0;0;2545;431;1;27;72;0;0
0;0;0;3386388;48456;1008356;0;0;0;0;2612;417;2;32;66;0;0
0;0;0;3392684;48456;1008356;0;0;0;0;2772;398;1;24;75;0;0
0;0;0;3392684;48464;1008352;0;0;0;12;2574;399;1;27;72;0;0
0;0;0;3392684;48464;1008364;0;0;0;0;2924;468;2;36;62;0;0
2;0;0;3391692;48464;1008368;0;0;0;0;3051;455;2;34;64;0;0
3;0;0;3391788;48464;1008372;0;0;0;0;2690;418;1;29;70;0;0
0;0;0;3392684;48464;1008372;0;0;0;0;2663;466;1;38;61;0;0
1;0;0;3390124;48472;1008368;0;0;0;12;2952;467;0;31;69;0;0
0;0;0;3392684;48472;1008380;0;0;0;0;2894;372;2;24;74;0;0
0;0;0;3392684;48472;1008384;0;0;0;0;2157;417;1;23;76;0;0
0;0;0;3392684;48472;1008388;0;0;0;0;1516;343;1;17;82;0;0
0;0;0;3390956;48472;1008388;0;0;0;0;2319;392;1;36;63;0;0
1;0;0;3391852;48480;1008384;0;0;0;12;2635;441;1;31;68;0;0
0;0;0;3392684;48480;1008396;0;0;0;0;2164;393;1;22;77;0;0
0;0;0;3392684;48480;1008400;0;0;0;0;2010;436;1;29;70;0;0
0;0;0;3392684;48480;1008404;0;0;0;0;2556;352;0;20;80;0;0
1;0;0;3392428;48480;1008404;0;0;0;0;2464;512;2;42;56;0;0
3;0;0;3390316;48488;1008400;0;0;0;12;1782;387;1;19;80;0;0
0;0;0;3392652;48488;1008412;0;0;0;104;2647;435;1;43;56;0;0
7;0;0;3392492;48488;1008416;0;0;0;0;2341;448;1;33;66;0;0
1;0;0;3392524;48488;1008420;0;0;0;0;3059;455;1;33;66;0;0
0;0;0;3392684;48488;1008420;0;0;0;0;3015;421;1;26;73;0;0
0;0;0;3392684;48488;1008424;0;0;0;0;3239;460;1;33;66;0;0
0;0;0;3392684;48496;1008420;0;0;0;24;3484;476;1;37;62;0;0
0;0;0;3392684;48496;1008436;0;0;0;0;2796;396;1;26;73;0;0
0;0;0;3392652;48496;1008436;0;0;0;0;2525;416;1;31;68;0;0
3;0;0;3389676;48496;1008440;0;0;0;0;2740;420;1;29;70;0;0
2;0;0;3388876;48496;1008444;0;0;0;0;2233;401;1;28;71;0;0
1;0;0;3392108;48504;1008440;0;0;0;12;3194;468;3;31;64;2;0
0;0;0;3392684;48504;1008452;0;0;0;48;3108;446;1;27;72;0;0
0;0;0;3392684;48504;1008456;0;0;0;0;1633;352;0;21;79;0;0
0;0;0;3392684;48504;1008456;0;0;0;0;2377;402;1;21;78;0;0
